type,objective,category,weight,Improved varieties,Public awarness,Processing equipment,Production training,Advocacy,Exchange,Business & credit,Production equipment ,Farm practices
weight,Priority Weights,,,,,,,,,,,
score,Income & livelihoods,impact,16,39,45,43,45,45,43,45,43,45
score,Nutrition & health,impact,16,33,45,44,45,43,45,45,45,45
score,Production & processing,feasibility,16,9,17,45,45,37,41,45,45,45
score,Equity,feasibility,16,19,17,19,10,13,44,35,20,20
score,Ecology,impact,16,30,34,35,45,38,43,42,32,45
score,Social Inclusion,feasibility,16,25,28,43,43,43,45,45,45,45
