type,objective,category,weight,Improved varieties,Public awarness,Processing equipment,Production training,Advocacy,Exchange,Business & credit,Production equipment ,Farm practices
weight,Priority Weights,,,,,,,,,,,
score,Income & livelihoods,impact,16,24,30,27,30,24,30,30,30,27
score,Nutrition & health,impact,16,30,30,30,30,30,27,29,30,27
score,Production & processing,feasibility,16,10,10,30,23,30,15,23,30,26
score,Equity,feasibility,16,12,11,20,12,25,23,16,19,18
score,Ecology,impact,16,20,27,15,28,23,11,11,21,20
score,Social Inclusion,feasibility,16,20,25,30,30,30,19,27,27,30
